no,date,tank,block,trt,order,sync,species,mass_mg
391,26-May,29,3,early_low,early,low,hyla,170.5
392,26-May,30,3,cont_low,cont,low,hyla,161.6
393,26-May,30,3,cont_low,cont,low,hyla,192.4
394,26-May,31,4,late_low,late,low,hyla,143.8
395,26-May,40,4,cont_high,cont,high,hyla,152.8
396,26-May,40,4,cont_high,cont,high,hyla,147.9
397,26-May,40,4,cont_high,cont,high,hyla,154
398,26-May,42,5,early_low,early,low,hyla,203.8
399,26-May,48,5,early_med,early,med,hyla,154.3
400,26-May,50,5,cont_med,cont,med,hyla,192
401,27-May,24,3,early_med,early,med,hyla,156.2
402,27-May,24,3,early_med,early,med,hyla,147.7
403,27-May,26,3,early_high,early,high,hyla,122.7
404,27-May,29,3,early_low,early,low,hyla,NA
405,27-May,29,3,early_low,early,low,hyla,152.1
406,27-May,40,4,cont_high,cont,high,hyla,NA
407,27-May,46,5,early_high,early,high,hyla,155
408,27-May,50,5,cont_med,cont,med,hyla,204.1
409,27-May,52,6,early_high,early,high,hyla,129.1
410,27-May,52,6,early_high,early,high,hyla,129.1
411,27-May,53,6,early_med,early,med,hyla,173.3
412,27-May,53,6,early_med,early,med,hyla,157
413,27-May,53,6,early_med,early,med,hyla,176
414,27-May,60,6,cont_low,cont,low,hyla,206.6
415,28-May,1,1,early_high,early,high,hyla,153
416,28-May,15,2,early_high,early,high,hyla,134.5
417,28-May,17,2,same_high,same,high,hyla,129
418,28-May,20,2,cont_med,cont,med,hyla,205.6
419,28-May,37,4,early_high,early,high,hyla,147.6
420,28-May,40,4,cont_high,cont,high,hyla,151.3
421,28-May,42,5,early_low,early,low,hyla,173
422,28-May,55,6,early_low,early,low,hyla,142.6
423,29-May,13,2,early_low,early,low,hyla,NA
424,29-May,20,2,cont_med,cont,med,hyla,199.6
425,29-May,25,3,same_low,same,low,hyla,131.8
426,29-May,35,4,same_med,same,med,hyla,167.8
427,29-May,37,4,early_high,early,high,hyla,141.3
428,29-May,37,4,early_high,early,high,hyla,123.4
429,29-May,37,4,early_high,early,high,hyla,152.5
430,29-May,48,5,early_med,early,med,hyla,193.1
431,30-May,3,1,early_low,early,low,hyla,195.7
433,30-May,3,1,early_low,early,low,hyla,227.5
434,30-May,26,3,early_high,early,high,hyla,158.1
435,30-May,29,3,early_low,early,low,hyla,150.2
436,30-May,30,3,cont_low,cont,low,hyla,265.3
437,30-May,37,4,early_high,early,high,hyla,157.8
438,30-May,42,5,early_low,early,low,hyla,179
439,30-May,44,5,same_high,same,high,hyla,149.9
440,30-May,48,5,early_med,early,med,hyla,183.3
441,30-May,53,6,early_med,early,med,hyla,160.9
442,30-May,55,6,early_low,early,low,hyla,189.5
443,31-May,3,1,early_low,early,low,hyla,211
444,31-May,20,2,cont_med,cont,med,hyla,195.8
445,31-May,25,3,same_low,same,low,hyla,162.4
446,31-May,38,4,early_med,early,med,hyla,165.5
447,31-May,40,4,cont_high,cont,high,hyla,NA
448,31-May,45,5,late_low,late,low,hyla,132.1
449,31-May,48,5,early_med,early,med,hyla,211.3
450,31-May,48,5,early_med,early,med,hyla,182.5
451,1-Jun,1,1,early_high,early,high,hyla,156.1
452,1-Jun,2,1,early_med,early,med,hyla,163
453,1-Jun,3,1,early_low,early,low,hyla,151.8
454,1-Jun,3,1,early_low,early,low,hyla,191.2
455,1-Jun,15,2,early_high,early,high,hyla,NA
456,1-Jun,36,4,late_high,late,high,hyla,115.6
457,1-Jun,38,4,early_med,early,med,hyla,188
458,1-Jun,42,5,early_low,early,low,hyla,216.6
459,1-Jun,52,6,early_high,early,high,hyla,164
460,2-Jun,20,2,cont_med,cont,med,hyla,138.8
461,2-Jun,21,3,same_med,same,med,hyla,163.9
462,2-Jun,33,4,early_low,early,low,hyla,158
463,2-Jun,33,4,early_low,early,low,hyla,NA
464,2-Jun,35,4,same_med,same,med,hyla,165.7
465,2-Jun,40,4,cont_high,cont,high,hyla,NA
466,2-Jun,46,5,early_high,early,high,hyla,178.4
467,2-Jun,47,5,same_low,same,low,hyla,142.3
468,2-Jun,50,5,cont_med,cont,med,hyla,178.9
469,2-Jun,53,6,early_med,early,med,hyla,191.8
470,2-Jun,55,6,early_low,early,low,hyla,NA
471,3-Jun,1,1,early_high,early,high,hyla,NA
472,3-Jun,1,1,early_high,early,high,hyla,125.1
473,3-Jun,3,1,early_low,early,low,hyla,173.8
474,3-Jun,24,3,early_med,early,med,hyla,149.5
475,3-Jun,26,3,early_high,early,high,hyla,203.2
476,3-Jun,29,3,early_low,early,low,hyla,177.9
477,3-Jun,30,3,cont_low,cont,low,hyla,327.9
478,3-Jun,40,4,cont_high,cont,high,hyla,NA
479,3-Jun,40,4,cont_high,cont,high,hyla,173.5
480,3-Jun,42,5,early_low,early,low,hyla,187.5
481,3-Jun,48,5,early_med,early,med,hyla,174.7
482,3-Jun,50,5,cont_med,cont,med,hyla,NA
483,3-Jun,50,5,cont_med,cont,med,hyla,212.9
484,3-Jun,50,5,cont_med,cont,med,hyla,179.7
485,3-Jun,53,6,early_med,early,med,hyla,169.1
486,3-Jun,57,6,same_low,same,low,hyla,142.8
487,3-Jun,60,6,cont_low,cont,low,hyla,239
488,4-Jun,20,2,cont_med,cont,med,hyla,197
489,4-Jun,21,3,same_med,same,med,hyla,199.9
490,4-Jun,21,3,same_med,same,med,hyla,187.6
491,4-Jun,24,3,early_med,early,med,hyla,175.4
492,4-Jun,40,4,cont_high,cont,high,hyla,NA
493,4-Jun,40,4,cont_high,cont,high,hyla,172.5
494,4-Jun,57,6,same_low,same,low,hyla,181.5
495,4-Jun,60,6,cont_low,cont,low,hyla,273.3
496,5-Jun,3,1,early_low,early,low,hyla,223.7
497,5-Jun,11,2,early_med,early,med,hyla,157.8
498,5-Jun,20,2,cont_med,cont,med,hyla,193.2
499,5-Jun,30,3,cont_low,cont,low,hyla,278.2
500,5-Jun,50,5,cont_med,cont,med,hyla,245.5
501,5-Jun,60,6,cont_low,cont,low,hyla,284.7
502,6-Jun,3,1,early_low,early,low,hyla,215.6
503,6-Jun,10,1,cont_high,cont,high,hyla,141.3
504,6-Jun,21,3,same_med,same,med,hyla,187.5
505,6-Jun,26,3,early_high,early,high,hyla,205.4
506,6-Jun,26,3,early_high,early,high,hyla,180.3
507,6-Jun,26,3,early_high,early,high,hyla,187.2
508,6-Jun,26,3,early_high,early,high,hyla,222
509,6-Jun,26,3,early_high,early,high,hyla,163.5
510,6-Jun,33,4,early_low,early,low,hyla,177.7
511,6-Jun,36,4,late_high,late,high,hyla,137.4
512,6-Jun,40,4,cont_high,cont,high,hyla,263.5
513,6-Jun,42,5,early_low,early,low,hyla,181.9
514,6-Jun,44,5,same_high,same,high,hyla,155.7
515,6-Jun,46,5,early_high,early,high,hyla,196.6
516,6-Jun,53,6,early_med,early,med,hyla,176.9
