"","tank","sync.x","block.x","trt.x","order.x","trt.y","order.y","sd","se","ci","cont","adj","biom_cont","emer_cont","emsd_cont","mass_cont","surv_cont","X","block.y","trt","order","sync.y","surv","biom","mass","emer","emsd","rana"
"72",16,"med",2,"late_med","late","cont_med","cont",45.8,6.1,12.3,197.4,0,NA,NA,NA,197.4,NA,16,2,"late_med","late","med",0.2,1613.56910069178,175.657142857143,105.333333333333,23.9582971014219,0.1
"73",16,"med",2,"late_med","late","cont_med","cont",1.3,0.9,11.9,16.9,0,NA,NA,16.9,NA,NA,16,2,"late_med","late","med",0.2,1613.56910069178,175.657142857143,105.333333333333,23.9582971014219,0.1
"74",16,"med",2,"late_med","late","cont_med","cont",16.8,2.1,4.3,43.8,0,NA,43.8,NA,NA,NA,16,2,"late_med","late","med",0.2,1613.56910069178,175.657142857143,105.333333333333,23.9582971014219,0.1
"75",16,"med",2,"late_med","late","cont_med","cont",0.03,0.02,0.28,0.69,0,NA,NA,NA,NA,0.69,16,2,"late_med","late","med",0.2,1613.56910069178,175.657142857143,105.333333333333,23.9582971014219,0.1
"76",17,"high",2,"same_high","same","cont_high","cont",0.22,0.16,1.98,0.62,0,NA,NA,NA,NA,0.62,17,2,"same_high","same","high",0.511111111111111,4338.16910069178,188.295238095238,91.1739130434783,24.4756877030565,0.566666666666667
"77",17,"high",2,"same_high","same","cont_high","cont",24.4,3.3,6.5,55.8,0,NA,55.8,NA,NA,NA,17,2,"same_high","same","high",0.511111111111111,4338.16910069178,188.295238095238,91.1739130434783,24.4756877030565,0.566666666666667
"78",17,"high",2,"same_high","same","cont_high","cont",1678.3,1186.7,15078.9,5035.4,0,5035.4,NA,NA,NA,NA,17,2,"same_high","same","high",0.511111111111111,4338.16910069178,188.295238095238,91.1739130434783,24.4756877030565,0.566666666666667
"79",17,"high",2,"same_high","same","cont_high","cont",5.6,4,50.2,15.1,0,NA,NA,15.1,NA,NA,17,2,"same_high","same","high",0.511111111111111,4338.16910069178,188.295238095238,91.1739130434783,24.4756877030565,0.566666666666667
"80",17,"high",2,"same_high","same","cont_high","cont",41.9,6.2,12.4,177.2,0,NA,NA,NA,177.2,NA,17,2,"same_high","same","high",0.511111111111111,4338.16910069178,188.295238095238,91.1739130434783,24.4756877030565,0.566666666666667
"81",18,"high",2,"late_high","late","cont_high","cont",41.9,6.2,12.4,177.2,0,NA,NA,NA,177.2,NA,18,2,"late_high","late","high",0.311111111111111,2528.56910069178,178.716666666667,97,17.3914214042883,0.4
"82",18,"high",2,"late_high","late","cont_high","cont",0.22,0.16,1.98,0.62,0,NA,NA,NA,NA,0.62,18,2,"late_high","late","high",0.311111111111111,2528.56910069178,178.716666666667,97,17.3914214042883,0.4
"83",18,"high",2,"late_high","late","cont_high","cont",5.6,4,50.2,15.1,0,NA,NA,15.1,NA,NA,18,2,"late_high","late","high",0.311111111111111,2528.56910069178,178.716666666667,97,17.3914214042883,0.4
"84",18,"high",2,"late_high","late","cont_high","cont",24.4,3.3,6.5,55.8,0,NA,55.8,NA,NA,NA,18,2,"late_high","late","high",0.311111111111111,2528.56910069178,178.716666666667,97,17.3914214042883,0.4
"85",18,"high",2,"late_high","late","cont_high","cont",1678.3,1186.7,15078.9,5035.4,0,5035.4,NA,NA,NA,NA,18,2,"late_high","late","high",0.311111111111111,2528.56910069178,178.716666666667,97,17.3914214042883,0.4
"86",19,"low",2,"late_low","late","cont_low","cont",10.2,1.4,2.9,33.4,0,NA,33.4,NA,NA,NA,19,2,"late_low","late","low",0.6,5898.05365103766,221.754166666667,101.037037037037,13.9324786062624,0
"87",19,"low",2,"late_low","late","cont_low","cont",775.1,548.1,6964.2,6127.3,0,6127.3,NA,NA,NA,NA,19,2,"late_low","late","low",0.6,5898.05365103766,221.754166666667,101.037037037037,13.9324786062624,0
"88",19,"low",2,"late_low","late","cont_low","cont",0.03,0.02,0.28,0.58,0,NA,NA,NA,NA,0.58,19,2,"late_low","late","low",0.6,5898.05365103766,221.754166666667,101.037037037037,13.9324786062624,0
"89",19,"low",2,"late_low","late","cont_low","cont",53.8,7.5,15.1,236.5,0,NA,NA,NA,236.5,NA,19,2,"late_low","late","low",0.6,5898.05365103766,221.754166666667,101.037037037037,13.9324786062624,0
"90",19,"low",2,"late_low","late","cont_low","cont",0.8,0.6,7.6,10.3,0,NA,NA,10.3,NA,NA,19,2,"late_low","late","low",0.6,5898.05365103766,221.754166666667,101.037037037037,13.9324786062624,0
"91",21,"med",3,"same_med","same","cont_med","cont",45.8,6.1,12.3,197.4,0,NA,NA,NA,197.4,NA,21,3,"same_med","same","med",0.488888888888889,3842.7,174.668181818182,58.5454545454545,35.9135566295452,0
